Условие задачи,Правильный ответ
Сколько будет 0 + 0?,0
Сколько будет 0 + 1?,1
Сколько будет 0 + 2?,2
Сколько будет 0 + 3?,3
Сколько будет 0 + 4?,4
Сколько будет 0 + 5?,5
Сколько будет 0 + 6?,6
Сколько будет 0 + 7?,7
Сколько будет 0 + 8?,8
Сколько будет 0 + 9?,9
Сколько будет 0 + 10?,10
Сколько будет 1 + 0?,1
Сколько будет 1 + 1?,2
Сколько будет 1 + 2?,3
Сколько будет 1 + 3?,4
Сколько будет 1 + 4?,5
Сколько будет 1 + 5?,6
Сколько будет 1 + 6?,7
Сколько будет 1 + 7?,8
Сколько будет 1 + 8?,9
Сколько будет 1 + 9?,10
Сколько будет 2 + 0?,2
Сколько будет 2 + 1?,3
Сколько будет 2 + 2?,4
Сколько будет 2 + 3?,5
Сколько будет 2 + 4?,6
Сколько будет 2 + 5?,7
Сколько будет 2 + 6?,8
Сколько будет 2 + 7?,9
Сколько будет 2 + 8?,10
Сколько будет 3 + 0?,3
Сколько будет 3 + 1?,4
Сколько будет 3 + 2?,5
Сколько будет 3 + 3?,6
Сколько будет 3 + 4?,7
Сколько будет 3 + 5?,8
Сколько будет 3 + 6?,9
Сколько будет 3 + 7?,10
Сколько будет 4 + 0?,4
Сколько будет 4 + 1?,5
Сколько будет 4 + 2?,6
Сколько будет 4 + 3?,7
Сколько будет 4 + 4?,8
Сколько будет 4 + 5?,9
Сколько будет 4 + 6?,10
Сколько будет 5 + 0?,5
Сколько будет 5 + 1?,6
Сколько будет 5 + 2?,7
Сколько будет 5 + 3?,8
Сколько будет 5 + 4?,9
Сколько будет 5 + 5?,10
Сколько будет 6 + 0?,6
Сколько будет 6 + 1?,7
Сколько будет 6 + 2?,8
Сколько будет 6 + 3?,9
Сколько будет 6 + 4?,10
Сколько будет 7 + 0?,7
Сколько будет 7 + 1?,8
Сколько будет 7 + 2?,9
Сколько будет 7 + 3?,10
Сколько будет 8 + 0?,8
Сколько будет 8 + 1?,9
Сколько будет 8 + 2?,10
Сколько будет 9 + 0?,9
Сколько будет 9 + 1?,10
Сколько будет 10 + 0?,10
Сколько будет 0 - 0?,0
Сколько будет 1 - 0?,1
Сколько будет 1 - 1?,0
Сколько будет 2 - 0?,2
Сколько будет 2 - 1?,1
Сколько будет 2 - 2?,0
Сколько будет 3 - 0?,3
Сколько будет 3 - 1?,2
Сколько будет 3 - 2?,1
Сколько будет 3 - 3?,0
Сколько будет 4 - 0?,4
Сколько будет 4 - 1?,3
Сколько будет 4 - 2?,2
Сколько будет 4 - 3?,1
Сколько будет 4 - 4?,0
Сколько будет 5 - 0?,5
Сколько будет 5 - 1?,4
Сколько будет 5 - 2?,3
Сколько будет 5 - 3?,2
Сколько будет 5 - 4?,1
Сколько будет 5 - 5?,0
Сколько будет 6 - 0?,6
Сколько будет 6 - 1?,5
Сколько будет 6 - 2?,4
Сколько будет 6 - 3?,3
Сколько будет 6 - 4?,2
Сколько будет 6 - 5?,1
Сколько будет 6 - 6?,0
Сколько будет 7 - 0?,7
Сколько будет 7 - 1?,6
Сколько будет 7 - 2?,5
Сколько будет 7 - 3?,4
Сколько будет 7 - 4?,3
Сколько будет 7 - 5?,2
Сколько будет 7 - 6?,1
Сколько будет 7 - 7?,0
Сколько будет 8 - 0?,8
Сколько будет 8 - 1?,7
Сколько будет 8 - 2?,6
Сколько будет 8 - 3?,5
Сколько будет 8 - 4?,4
Сколько будет 8 - 5?,3
Сколько будет 8 - 6?,2
Сколько будет 8 - 7?,1
Сколько будет 8 - 8?,0
Сколько будет 9 - 0?,9
Сколько будет 9 - 1?,8
Сколько будет 9 - 2?,7
Сколько будет 9 - 3?,6
Сколько будет 9 - 4?,5
Сколько будет 9 - 5?,4
Сколько будет 9 - 6?,3
Сколько будет 9 - 7?,2
Сколько будет 9 - 8?,1
Сколько будет 9 - 9?,0
Сколько будет 10 - 0?,10
Сколько будет 10 - 1?,9
Сколько будет 10 - 2?,8
Сколько будет 10 - 3?,7
Сколько будет 10 - 4?,6
Сколько будет 10 - 5?,5
Сколько будет 10 - 6?,4
Сколько будет 10 - 7?,3
Сколько будет 10 - 8?,2
Сколько будет 10 - 9?,1
Сколько будет 10 - 10?,0
