Что больше: 0 или 0?,0 = 0
Что больше: 0 или 1?,0 < 1
Что больше: 0 или 2?,0 < 2
Что больше: 0 или 3?,0 < 3
Что больше: 0 или 4?,0 < 4
Что больше: 0 или 5?,0 < 5
Что больше: 0 или 6?,0 < 6
Что больше: 0 или 7?,0 < 7
Что больше: 0 или 8?,0 < 8
Что больше: 0 или 9?,0 < 9
Что больше: 0 или 10?,0 < 10
Что больше: 0 или 11?,0 < 11
Что больше: 0 или 12?,0 < 12
Что больше: 0 или 13?,0 < 13
Что больше: 0 или 14?,0 < 14
Что больше: 0 или 15?,0 < 15
Что больше: 0 или 16?,0 < 16
Что больше: 0 или 17?,0 < 17
Что больше: 0 или 18?,0 < 18
Что больше: 0 или 19?,0 < 19
Что больше: 0 или 20?,0 < 20
Что больше: 1 или 0?,1 > 0
Что больше: 1 или 1?,1 = 1
Что больше: 1 или 2?,1 < 2
Что больше: 1 или 3?,1 < 3
Что больше: 1 или 4?,1 < 4
Что больше: 1 или 5?,1 < 5
Что больше: 1 или 6?,1 < 6
Что больше: 1 или 7?,1 < 7
Что больше: 1 или 8?,1 < 8
Что больше: 1 или 9?,1 < 9
Что больше: 1 или 10?,1 < 10
Что больше: 1 или 11?,1 < 11
Что больше: 1 или 12?,1 < 12
Что больше: 1 или 13?,1 < 13
Что больше: 1 или 14?,1 < 14
Что больше: 1 или 15?,1 < 15
Что больше: 1 или 16?,1 < 16
Что больше: 1 или 17?,1 < 17
Что больше: 1 или 18?,1 < 18
Что больше: 1 или 19?,1 < 19
Что больше: 1 или 20?,1 < 20
Что больше: 2 или 0?,2 > 0
Что больше: 2 или 1?,2 > 1
Что больше: 2 или 2?,2 = 2
Что больше: 2 или 3?,2 < 3
Что больше: 2 или 4?,2 < 4
Что больше: 2 или 5?,2 < 5
Что больше: 2 или 6?,2 < 6
Что больше: 2 или 7?,2 < 7
Что больше: 2 или 8?,2 < 8
Что больше: 2 или 9?,2 < 9
Что больше: 2 или 10?,2 < 10
Что больше: 2 или 11?,2 < 11
Что больше: 2 или 12?,2 < 12
Что больше: 2 или 13?,2 < 13
Что больше: 2 или 14?,2 < 14
Что больше: 2 или 15?,2 < 15
Что больше: 2 или 16?,2 < 16
Что больше: 2 или 17?,2 < 17
Что больше: 2 или 18?,2 < 18
Что больше: 2 или 19?,2 < 19
Что больше: 2 или 20?,2 < 20
Что больше: 3 или 0?,3 > 0
Что больше: 3 или 1?,3 > 1
Что больше: 3 или 2?,3 > 2
Что больше: 3 или 3?,3 = 3
Что больше: 3 или 4?,3 < 4
Что больше: 3 или 5?,3 < 5
Что больше: 3 или 6?,3 < 6
Что больше: 3 или 7?,3 < 7
Что больше: 3 или 8?,3 < 8
Что больше: 3 или 9?,3 < 9
Что больше: 3 или 10?,3 < 10
Что больше: 3 или 11?,3 < 11
Что больше: 3 или 12?,3 < 12
Что больше: 3 или 13?,3 < 13
Что больше: 3 или 14?,3 < 14
Что больше: 3 или 15?,3 < 15
Что больше: 3 или 16?,3 < 16
Что больше: 3 или 17?,3 < 17
Что больше: 3 или 18?,3 < 18
Что больше: 3 или 19?,3 < 19
Что больше: 3 или 20?,3 < 20
Что больше: 4 или 0?,4 > 0
Что больше: 4 или 1?,4 > 1
Что больше: 4 или 2?,4 > 2
Что больше: 4 или 3?,4 > 3
Что больше: 4 или 4?,4 = 4
Что больше: 4 или 5?,4 < 5
Что больше: 4 или 6?,4 < 6
Что больше: 4 или 7?,4 < 7
Что больше: 4 или 8?,4 < 8
Что больше: 4 или 9?,4 < 9
Что больше: 4 или 10?,4 < 10
Что больше: 4 или 11?,4 < 11
Что больше: 4 или 12?,4 < 12
Что больше: 4 или 13?,4 < 13
Что больше: 4 или 14?,4 < 14
Что больше: 4 или 15?,4 < 15
Что больше: 4 или 16?,4 < 16
Что больше: 4 или 17?,4 < 17
Что больше: 4 или 18?,4 < 18
Что больше: 4 или 19?,4 < 19
Что больше: 4 или 20?,4 < 20
Что больше: 5 или 0?,5 > 0
Что больше: 5 или 1?,5 > 1
Что больше: 5 или 2?,5 > 2
Что больше: 5 или 3?,5 > 3
Что больше: 5 или 4?,5 > 4
Что больше: 5 или 5?,5 = 5
Что больше: 5 или 6?,5 < 6
Что больше: 5 или 7?,5 < 7
Что больше: 5 или 8?,5 < 8
Что больше: 5 или 9?,5 < 9
Что больше: 5 или 10?,5 < 10
Что больше: 5 или 11?,5 < 11
Что больше: 5 или 12?,5 < 12
Что больше: 5 или 13?,5 < 13
Что больше: 5 или 14?,5 < 14
Что больше: 5 или 15?,5 < 15
Что больше: 5 или 16?,5 < 16
Что больше: 5 или 17?,5 < 17
Что больше: 5 или 18?,5 < 18
Что больше: 5 или 19?,5 < 19
Что больше: 5 или 20?,5 < 20
Что больше: 6 или 0?,6 > 0
Что больше: 6 или 1?,6 > 1
Что больше: 6 или 2?,6 > 2
Что больше: 6 или 3?,6 > 3
Что больше: 6 или 4?,6 > 4
Что больше: 6 или 5?,6 > 5
Что больше: 6 или 6?,6 = 6
Что больше: 6 или 7?,6 < 7
Что больше: 6 или 8?,6 < 8
Что больше: 6 или 9?,6 < 9
Что больше: 6 или 10?,6 < 10
Что больше: 6 или 11?,6 < 11
Что больше: 6 или 12?,6 < 12
Что больше: 6 или 13?,6 < 13
Что больше: 6 или 14?,6 < 14
Что больше: 6 или 15?,6 < 15
Что больше: 6 или 16?,6 < 16
Что больше: 6 или 17?,6 < 17
Что больше: 6 или 18?,6 < 18
Что больше: 6 или 19?,6 < 19
Что больше: 6 или 20?,6 < 20
Что больше: 7 или 0?,7 > 0
Что больше: 7 или 1?,7 > 1
Что больше: 7 или 2?,7 > 2
Что больше: 7 или 3?,7 > 3
Что больше: 7 или 4?,7 > 4
Что больше: 7 или 5?,7 > 5
Что больше: 7 или 6?,7 > 6
Что больше: 7 или 7?,7 = 7
Что больше: 7 или 8?,7 < 8
Что больше: 7 или 9?,7 < 9
Что больше: 7 или 10?,7 < 10
Что больше: 7 или 11?,7 < 11
Что больше: 7 или 12?,7 < 12
Что больше: 7 или 13?,7 < 13
Что больше: 7 или 14?,7 < 14
Что больше: 7 или 15?,7 < 15
Что больше: 7 или 16?,7 < 16
Что больше: 7 или 17?,7 < 17
Что больше: 7 или 18?,7 < 18
Что больше: 7 или 19?,7 < 19
Что больше: 7 или 20?,7 < 20
Что больше: 8 или 0?,8 > 0
Что больше: 8 или 1?,8 > 1
Что больше: 8 или 2?,8 > 2
Что больше: 8 или 3?,8 > 3
Что больше: 8 или 4?,8 > 4
Что больше: 8 или 5?,8 > 5
Что больше: 8 или 6?,8 > 6
Что больше: 8 или 7?,8 > 7
Что больше: 8 или 8?,8 = 8
Что больше: 8 или 9?,8 < 9
Что больше: 8 или 10?,8 < 10
Что больше: 8 или 11?,8 < 11
Что больше: 8 или 12?,8 < 12
Что больше: 8 или 13?,8 < 13
Что больше: 8 или 14?,8 < 14
Что больше: 8 или 15?,8 < 15
Что больше: 8 или 16?,8 < 16
Что больше: 8 или 17?,8 < 17
Что больше: 8 или 18?,8 < 18
Что больше: 8 или 19?,8 < 19
Что больше: 8 или 20?,8 < 20
Что больше: 9 или 0?,9 > 0
Что больше: 9 или 1?,9 > 1
Что больше: 9 или 2?,9 > 2
Что больше: 9 или 3?,9 > 3
Что больше: 9 или 4?,9 > 4
Что больше: 9 или 5?,9 > 5
Что больше: 9 или 6?,9 > 6
Что больше: 9 или 7?,9 > 7
Что больше: 9 или 8?,9 > 8
Что больше: 9 или 9?,9 = 9
Что больше: 9 или 10?,9 < 10
Что больше: 9 или 11?,9 < 11
Что больше: 9 или 12?,9 < 12
Что больше: 9 или 13?,9 < 13
Что больше: 9 или 14?,9 < 14
Что больше: 9 или 15?,9 < 15
Что больше: 9 или 16?,9 < 16
Что больше: 9 или 17?,9 < 17
Что больше: 9 или 18?,9 < 18
Что больше: 9 или 19?,9 < 19
Что больше: 9 или 20?,9 < 20
Что больше: 10 или 0?,10 > 0
Что больше: 10 или 1?,10 > 1
Что больше: 10 или 2?,10 > 2
Что больше: 10 или 3?,10 > 3
Что больше: 10 или 4?,10 > 4
Что больше: 10 или 5?,10 > 5
Что больше: 10 или 6?,10 > 6
Что больше: 10 или 7?,10 > 7
Что больше: 10 или 8?,10 > 8
Что больше: 10 или 9?,10 > 9
Что больше: 10 или 10?,10 = 10
Что больше: 10 или 11?,10 < 11
Что больше: 10 или 12?,10 < 12
Что больше: 10 или 13?,10 < 13
Что больше: 10 или 14?,10 < 14
Что больше: 10 или 15?,10 < 15
Что больше: 10 или 16?,10 < 16
Что больше: 10 или 17?,10 < 17
Что больше: 10 или 18?,10 < 18
Что больше: 10 или 19?,10 < 19
Что больше: 10 или 20?,10 < 20
Что больше: 11 или 0?,11 > 0
Что больше: 11 или 1?,11 > 1
Что больше: 11 или 2?,11 > 2
Что больше: 11 или 3?,11 > 3
Что больше: 11 или 4?,11 > 4
Что больше: 11 или 5?,11 > 5
Что больше: 11 или 6?,11 > 6
Что больше: 11 или 7?,11 > 7
Что больше: 11 или 8?,11 > 8
Что больше: 11 или 9?,11 > 9
Что больше: 11 или 10?,11 > 10
Что больше: 11 или 11?,11 = 11
Что больше: 11 или 12?,11 < 12
Что больше: 11 или 13?,11 < 13
Что больше: 11 или 14?,11 < 14
Что больше: 11 или 15?,11 < 15
Что больше: 11 или 16?,11 < 16
Что больше: 11 или 17?,11 < 17
Что больше: 11 или 18?,11 < 18
Что больше: 11 или 19?,11 < 19
Что больше: 11 или 20?,11 < 20
Что больше: 12 или 0?,12 > 0
Что больше: 12 или 1?,12 > 1
Что больше: 12 или 2?,12 > 2
Что больше: 12 или 3?,12 > 3
Что больше: 12 или 4?,12 > 4
Что больше: 12 или 5?,12 > 5
Что больше: 12 или 6?,12 > 6
Что больше: 12 или 7?,12 > 7
Что больше: 12 или 8?,12 > 8
Что больше: 12 или 9?,12 > 9
Что больше: 12 или 10?,12 > 10
Что больше: 12 или 11?,12 > 11
Что больше: 12 или 12?,12 = 12
Что больше: 12 или 13?,12 < 13
Что больше: 12 или 14?,12 < 14
Что больше: 12 или 15?,12 < 15
Что больше: 12 или 16?,12 < 16
Что больше: 12 или 17?,12 < 17
Что больше: 12 или 18?,12 < 18
Что больше: 12 или 19?,12 < 19
Что больше: 12 или 20?,12 < 20
Что больше: 13 или 0?,13 > 0
Что больше: 13 или 1?,13 > 1
Что больше: 13 или 2?,13 > 2
Что больше: 13 или 3?,13 > 3
Что больше: 13 или 4?,13 > 4
Что больше: 13 или 5?,13 > 5
Что больше: 13 или 6?,13 > 6
Что больше: 13 или 7?,13 > 7
Что больше: 13 или 8?,13 > 8
Что больше: 13 или 9?,13 > 9
Что больше: 13 или 10?,13 > 10
Что больше: 13 или 11?,13 > 11
Что больше: 13 или 12?,13 > 12
Что больше: 13 или 13?,13 = 13
Что больше: 13 или 14?,13 < 14
Что больше: 13 или 15?,13 < 15
Что больше: 13 или 16?,13 < 16
Что больше: 13 или 17?,13 < 17
Что больше: 13 или 18?,13 < 18
Что больше: 13 или 19?,13 < 19
Что больше: 13 или 20?,13 < 20
Что больше: 14 или 0?,14 > 0
Что больше: 14 или 1?,14 > 1
Что больше: 14 или 2?,14 > 2
Что больше: 14 или 3?,14 > 3
Что больше: 14 или 4?,14 > 4
Что больше: 14 или 5?,14 > 5
